timestamp,kiirendus_x,kiirendus_y,kiirendus_z,gyro_x,gyro_y,gyro_z
2026-02-25 19:43:33,-15276,16,-4820,328,196,-372
2026-02-25 19:43:34,-15276,8,-4888,337,188,-405
2026-02-25 19:43:35,-15304,56,-4848,347,222,-365
2026-02-25 19:43:36,-15260,80,-4932,349,187,-381
2026-02-26 12:17:46,-2288,-5892,15104,343,187,-412
2026-02-26 12:17:47,-2248,-5836,15148,328,220,-387
2026-02-26 12:24:57,-604,-6228,15200,345,249,-386
2026-02-26 12:24:58,-528,-6196,15104,369,231,-350
2026-02-26 12:24:59,-540,-6236,15220,331,208,-390
2026-02-26 12:25:00,-592,-6228,15148,335,190,-412
2026-02-26 12:25:01,-528,-6220,15152,341,228,-370
2026-02-26 12:57:11,-632,-6264,15184,334,224,-397
2026-02-26 12:57:12,-580,-6300,15144,338,211,-364
2026-02-26 12:57:13,-572,-6232,15116,338,197,-404
2026-03-12 18:25:40,7264,-14300,4316,350,214,-361
2026-03-12 18:25:41,7240,-14296,4344,345,260,-407
2026-03-12 18:53:07,7432,-14240,4112,306,206,-390
2026-03-12 18:53:08,7380,-14304,4064,315,237,-399
2026-03-12 18:53:09,7344,-14276,4008,321,214,-403
2026-03-12 18:53:10,7496,-14288,4296,328,243,-303
2026-03-12 18:53:11,7368,-14296,4060,309,213,-381
2026-03-12 18:53:13,7376,-14348,4064,340,238,-380
2026-03-12 19:01:26,7344,-14332,4004,344,207,-373
2026-03-12 19:01:29,7420,-14284,4048,343,219,-397
2026-03-12 19:01:30,7380,-14224,4084,321,218,-382
2026-03-12 19:01:32,7396,-14340,4320,340,216,-378
2026-03-12 19:01:33,7400,-14268,3968,338,214,-349
2026-03-12 19:44:51,6876,-14904,2260,328,165,-399
2026-03-12 19:44:53,6828,-14924,2348,334,184,-394
2026-03-12 19:44:54,6756,-14996,2236,366,219,-404
2026-03-12 19:44:54,6884,-14952,2236,357,227,-393
2026-03-12 19:44:55,6820,-14976,2276,346,240,-379
2026-03-12 19:44:56,6816,-14908,2296,339,254,-386
2026-03-12 19:44:56,6824,-14892,2312,392,246,-428
